iter	Passed	Remaining
399	41940	62911
400	42051	62815
401	42160	62716
402	42281	62636
403	42389	62535
404	42497	62434
405	42580	62297
406	42687	62196
407	42795	62095
408	42900	61990
409	43025	61914
410	43136	61818
411	43253	61730
412	43362	61630
413	43469	61528
414	43581	61434
415	43699	61347
416	43817	61260
417	43932	61168
418	44032	61056
419	44136	60950
420	44234	60835
421	44338	60729
422	44441	60621
423	44546	60516
424	44643	60400
425	44746	60292
426	44846	60180
427	44952	60076
428	45055	59968
429	45155	59857
430	45258	59749
431	45356	59635
432	45461	59530
433	45574	59435
434	45681	59333
435	45791	59234
436	45891	59123
437	45991	59012
438	46094	58904
439	46192	58790
440	46288	58673
441	46387	58561
442	46486	58449
443	46586	58338
444	46683	58223
445	46775	58102
446	46872	57987
447	46972	57876
448	47074	57768
449	47172	57655
450	47271	57543
451	47373	57434
452	47477	57329
453	47581	57223
454	47683	57115
455	47786	57008
456	47891	56904
457	47995	56797
458	48105	56699
459	48212	56597
460	48313	56487
461	48418	56383
462	48529	56285
463	48635	56181
464	48735	56071
465	48835	55962
466	48941	55858
467	49048	55755
468	49148	55646
469	49253	55541
470	49352	55429
471	49409	55271
472	49513	55166
473	49621	55065
474	49726	54960
475	49829	54853
476	49931	54746
477	50035	54641
478	50143	54540
479	50246	54433
480	50345	54322
481	50447	54215
482	50552	54111
483	50656	54005
484	50757	53897
485	50855	53785
486	50957	53677
487	51061	53572
488	51164	53466
489	51264	53356
490	51382	53266
491	51493	53167
492	51602	53067
493	51711	52967
494	51824	52871
495	51924	52761
496	52030	52658
497	52130	52549
498	52233	52442
499	52337	52337
500	52435	52225
501	52540	52122
502	52639	52011
503	52737	51900
504	52839	51793
505	52938	51683
506	53046	51581
507	53149	51475
508	53250	51367
509	53351	51259
510	53452	51151
511	53560	51050
512	53661	50941
513	53769	50840
514	53869	50731
515	53969	50622
516	54069	50513
517	54172	50407
518	54275	50301
519	54373	50190
520	54467	50076
521	54572	49972
522	54668	49859
523	54767	49750
524	54868	49643
525	54969	49535
526	55076	49432
527	55177	49325
528	55277	49216
529	55376	49107
530	55474	48997
531	55579	48893
532	55681	48786
533	55780	48677
534	55883	48571
535	55995	48474
536	56101	48370
537	56205	48265
538	56329	48177
539	56431	48071
540	56537	47967
541	56645	47866
542	56750	47762
543	56850	47653
544	56956	47550
545	57060	47445
546	57162	47339
547	57261	47229
548	57366	47125
549	57481	47030
550	57589	46928
551	57697	46826
552	57804	46724
553	57907	46618
554	58014	46516
555	58127	46418
556	58251	46329
557	58356	46224
558	58462	46121
559	58570	46019
560	58682	45920
561	58793	45820
562	58898	45716
563	59001	45610
564	59103	45504
565	59207	45399
566	59308	45291
567	59414	45188
568	59528	45091
569	59639	44990
