iter	MAE
0	0.06884924637
1	0.06884108997
2	0.06883259619
3	0.06882465586
4	0.06881492571
5	0.06880735403
6	0.06880040931
7	0.06879271529
8	0.06878607303
9	0.06877916093
10	0.06877287901
11	0.06876619566
12	0.06875882776
13	0.06875138803
14	0.06874433271
15	0.06873792418
16	0.06873209086
17	0.06872524947
18	0.06871833529
19	0.06871110078
20	0.06870530318
21	0.06869944496
22	0.06869389295
23	0.06868822503
24	0.06868230941
25	0.06867681769
26	0.06867133433
27	0.0686655456
28	0.06865863338
29	0.06865238532
30	0.06864733343
31	0.06864179131
32	0.06863683079
33	0.06863126378
34	0.06862727744
35	0.0686223575
36	0.06861753401
37	0.06861290065
38	0.06860757462
39	0.06860307927
40	0.06859766575
41	0.0685934406
42	0.06858890381
43	0.06858383173
44	0.06857931256
45	0.06857473037
46	0.06857021658
47	0.06856637333
48	0.06856200021
49	0.06855801884
50	0.06855348242
51	0.06854882284
52	0.06854529083
53	0.06854108583
54	0.06853758179
55	0.06853378853
56	0.06853034234
57	0.06852669072
58	0.06852303601
59	0.06851920559
60	0.0685161477
61	0.06851243292
62	0.06850814808
63	0.06850497542
64	0.06850236166
65	0.06849892759
66	0.06849591627
67	0.06849263322
68	0.06848926415
69	0.06848517761
70	0.06848228978
71	0.06847931605
72	0.06847700852
73	0.06847461261
74	0.06847178355
75	0.0684681964
76	0.06846499549
77	0.0684621766
78	0.06845890439
79	0.06845490304
80	0.06845160402
81	0.06844915679
82	0.06844616157
83	0.06844365931
84	0.06844088282
85	0.06843756076
86	0.06843450442
87	0.06843191808
88	0.06842896786
89	0.0684263516
90	0.06842434998
91	0.06842235248
92	0.06842017061
93	0.06841741574
94	0.06841536391
95	0.06841223057
96	0.06840908992
97	0.06840664065
98	0.06840342551
99	0.06840115377
100	0.06839830809
101	0.0683959932
102	0.06839374734
103	0.06839179807
104	0.06838901872
105	0.06838674204
106	0.06838417285
107	0.06838186634
108	0.06837918921
109	0.06837698892
110	0.06837426588
111	0.06837135127
112	0.06836913197
113	0.06836670346
114	0.0683642239
115	0.06836181403
116	0.06835905646
117	0.06835685647
118	0.06835527261
119	0.06835298554
120	0.06835070142
121	0.06834891376
122	0.06834658183
123	0.06834481176
124	0.06834288028
125	0.06834029946
126	0.06833883637
127	0.06833683165
128	0.06833423408
129	0.06833227816
130	0.06833025252
131	0.06832792659
132	0.0683258185
